name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed
Bulbasaur,grass,poison,1,45,49,49,65,65,45
Ivysaur,grass,poison,1,60,62,63,80,80,60
Venusaur,grass,poison,1,80,100,123,122,120,80
Charmander,fire,,1,39,52,43,60,50,65
Charmeleon,fire,,1,58,64,58,80,65,80
Charizard,fire,flying,1,78,104,78,159,115,100
Squirtle,water,,1,44,48,65,50,64,43
Wartortle,water,,1,59,63,80,65,80,58
Blastoise,water,,1,79,103,120,135,115,78
Caterpie,bug,,1,45,30,35,20,20,45
Metapod,bug,,1,50,20,55,25,25,30
Butterfree,bug,flying,1,60,45,50,90,80,70
Weedle,bug,poison,1,40,35,30,20,20,50
Kakuna,bug,poison,1,45,25,50,25,25,35
Beedrill,bug,poison,1,65,150,40,15,80,145
Pidgey,normal,flying,1,40,45,40,35,35,56
Pidgeotto,normal,flying,1,63,60,55,50,50,71
Pidgeot,normal,flying,1,83,80,80,135,80,121
Rattata,normal,dark,1,30,56,35,25,35,72
Raticate,normal,dark,1,75,71,70,40,80,77
Spearow,normal,flying,1,40,60,30,31,31,70
Fearow,normal,flying,1,65,90,65,61,61,100
Ekans,poison,,1,35,60,44,40,54,55
Arbok,poison,,1,60,95,69,65,79,80
Pikachu,electric,,1,35,55,40,50,50,90
Raichu,electric,electric,1,60,85,50,95,85,110
Sandshrew,ground,ice,1,50,75,90,10,35,40
Sandslash,ground,ice,1,75,100,120,25,65,65
Nidoran♀,poison,,1,55,47,52,40,40,41
Nidorina,poison,,1,70,62,67,55,55,56
Nidoqueen,poison,ground,1,90,92,87,75,85,76
Nidoran♂,poison,,1,46,57,40,40,40,50
Nidorino,poison,,1,61,72,57,55,55,65
Nidoking,poison,ground,1,81,102,77,85,75,85
Clefairy,fairy,,1,70,45,48,60,65,35
Clefable,fairy,,1,95,70,73,95,90,60
Vulpix,fire,ice,1,38,41,40,50,65,65
Ninetales,fire,ice,1,73,67,75,81,100,109
Jigglypuff,normal,fairy,1,115,45,20,45,25,20
Wigglytuff,normal,fairy,1,140,70,45,85,50,45
Zubat,poison,flying,1,40,45,35,30,40,55
Golbat,poison,flying,1,75,80,70,65,75,90
Oddish,grass,poison,1,45,50,55,75,65,30
Gloom,grass,poison,1,60,65,70,85,75,40
Vileplume,grass,poison,1,75,80,85,110,90,50
Paras,bug,grass,1,35,70,55,45,55,25
Parasect,bug,grass,1,60,95,80,60,80,30
Venonat,bug,poison,1,60,55,50,40,55,45
Venomoth,bug,poison,1,70,65,60,90,75,90
Diglett,ground,ground,1,10,55,30,35,45,90
Dugtrio,ground,ground,1,35,100,60,50,70,110
Meowth,normal,dark,1,40,35,35,50,40,90
Persian,normal,dark,1,65,60,60,75,65,115
Psyduck,water,,1,50,52,48,65,50,55
Golduck,water,,1,80,82,78,95,80,85
Mankey,fighting,,1,40,80,35,35,45,70
Primeape,fighting,,1,65,105,60,60,70,95
Growlithe,fire,,1,55,70,45,70,50,60
Arcanine,fire,,1,90,110,80,100,80,95
Poliwag,water,,1,40,50,40,40,40,90
Poliwhirl,water,,1,65,65,65,50,50,90
Poliwrath,water,fighting,1,90,95,95,70,90,70
Abra,psychic,,1,25,20,15,105,55,90
Kadabra,psychic,,1,40,35,30,120,70,105
Alakazam,psychic,,1,55,50,65,175,105,150
Machop,fighting,,1,70,80,50,35,35,35
Machoke,fighting,,1,80,100,70,50,60,45
Machamp,fighting,,1,90,130,80,65,85,55
Bellsprout,grass,poison,1,50,75,35,70,30,40
Weepinbell,grass,poison,1,65,90,50,85,45,55
Victreebel,grass,poison,1,80,105,65,100,70,70
Tentacool,water,poison,1,40,40,35,50,100,70
Tentacruel,water,poison,1,80,70,65,80,120,100
Geodude,rock,ground,1,40,80,100,30,30,20
Graveler,rock,ground,1,55,95,115,45,45,35
Golem,rock,ground,1,80,120,130,55,65,45
Ponyta,fire,,1,50,85,55,65,65,90
Rapidash,fire,,1,65,100,70,80,80,105
Slowpoke,water,psychic,1,90,65,65,40,40,15
Slowbro,water,psychic,1,95,75,180,130,80,30
Magnemite,electric,steel,1,25,35,70,95,55,45
Magneton,electric,steel,1,50,60,95,120,70,70
Farfetch'd,normal,flying,1,52,90,55,58,62,60
Doduo,normal,flying,1,35,85,45,35,35,75
Dodrio,normal,flying,1,60,110,70,60,60,110
Seel,water,,1,65,45,55,45,70,45
Dewgong,water,ice,1,90,70,80,70,95,70
Grimer,poison,poison,1,80,80,50,40,50,25
Muk,poison,poison,1,105,105,75,65,100,50
Shellder,water,,1,30,65,100,45,25,40
Cloyster,water,ice,1,50,95,180,85,45,70
Gastly,ghost,poison,1,30,35,30,100,35,80
Haunter,ghost,poison,1,45,50,45,115,55,95
Gengar,ghost,poison,1,60,65,80,170,95,130
Onix,rock,ground,1,35,45,160,30,45,70
Drowzee,psychic,,1,60,48,45,43,90,42
Hypno,psychic,,1,85,73,70,73,115,67
Krabby,water,,1,30,105,90,25,25,50
Kingler,water,,1,55,130,115,50,50,75
Voltorb,electric,,1,40,30,50,55,55,100
Electrode,electric,,1,60,50,70,80,80,150
Exeggcute,grass,psychic,1,60,40,80,60,45,40
Exeggutor,grass,psychic,1,95,105,85,125,75,45
Cubone,ground,,1,50,50,95,40,50,35
Marowak,ground,fire,1,60,80,110,50,80,45
Hitmonlee,fighting,,1,50,120,53,35,110,87
Hitmonchan,fighting,,1,50,105,79,35,110,76
Lickitung,normal,,1,90,55,75,60,75,30
Koffing,poison,,1,40,65,95,60,45,35
Weezing,poison,,1,65,90,120,85,70,60
Rhyhorn,ground,rock,1,80,85,95,30,30,25
Rhydon,ground,rock,1,105,130,120,45,45,40
Chansey,normal,,1,250,5,5,35,105,50
Tangela,grass,,1,65,55,115,100,40,60
Kangaskhan,normal,,1,105,125,100,60,100,100
Horsea,water,,1,30,40,70,70,25,60
Seadra,water,,1,55,65,95,95,45,85
Goldeen,water,,1,45,67,60,35,50,63
Seaking,water,,1,80,92,65,65,80,68
Staryu,water,,1,30,45,55,70,55,85
Starmie,water,psychic,1,60,75,85,100,85,115
Mr. Mime,psychic,fairy,1,40,45,65,100,120,90
Scyther,bug,flying,1,70,110,80,55,80,105
Jynx,ice,psychic,1,65,50,35,115,95,95
Electabuzz,electric,,1,65,83,57,95,85,105
Magmar,fire,,1,65,95,57,100,85,93
Pinsir,bug,,1,65,155,120,65,90,105
Tauros,normal,,1,75,100,95,40,70,110
Magikarp,water,,1,20,10,55,15,20,80
Gyarados,water,flying,1,95,155,109,70,130,81
Lapras,water,ice,1,130,85,80,85,95,60
Ditto,normal,,1,48,48,48,48,48,48
Eevee,normal,,1,55,55,50,45,65,55
Vaporeon,water,,1,130,65,60,110,95,65
Jolteon,electric,,1,65,65,60,110,95,130
Flareon,fire,,1,65,130,60,95,110,65
Porygon,normal,,1,65,60,70,85,75,40
Omanyte,rock,water,1,35,40,100,90,55,35
Omastar,rock,water,1,70,60,125,115,70,55
Kabuto,rock,water,1,30,80,90,55,45,55
Kabutops,rock,water,1,60,115,105,65,70,80
Aerodactyl,rock,flying,1,80,135,85,70,95,150
Snorlax,normal,,1,160,110,65,65,110,30
Articuno,ice,flying,1,90,85,100,95,125,85
Zapdos,electric,flying,1,90,90,85,125,90,100
Moltres,fire,flying,1,90,100,90,125,85,90
Dratini,dragon,,1,41,64,45,50,50,50
Dragonair,dragon,,1,61,84,65,70,70,70
Dragonite,dragon,flying,1,91,134,95,100,100,80
Mewtwo,psychic,,1,106,150,70,194,120,140
Mew,psychic,,1,100,100,100,100,100,100
Chikorita,grass,,2,45,49,65,49,65,45
Bayleef,grass,,2,60,62,80,63,80,60
Meganium,grass,,2,80,82,100,83,100,80
Cyndaquil,fire,,2,39,52,43,60,50,65
Quilava,fire,,2,58,64,58,80,65,80
Typhlosion,fire,,2,78,84,78,109,85,100
Totodile,water,,2,50,65,64,44,48,43
Croconaw,water,,2,65,80,80,59,63,58
Feraligatr,water,,2,85,105,100,79,83,78
Sentret,normal,,2,35,46,34,35,45,20
Furret,normal,,2,85,76,64,45,55,90
Hoothoot,normal,flying,2,60,30,30,36,56,50
Noctowl,normal,flying,2,100,50,50,86,96,70
Ledyba,bug,flying,2,40,20,30,40,80,55
Ledian,bug,flying,2,55,35,50,55,110,85
Spinarak,bug,poison,2,40,60,40,40,40,30
Ariados,bug,poison,2,70,90,70,60,70,40
Crobat,poison,flying,2,85,90,80,70,80,130
Chinchou,water,electric,2,75,38,38,56,56,67
Lanturn,water,electric,2,125,58,58,76,76,67
Pichu,electric,,2,20,40,15,35,35,60
Cleffa,fairy,,2,50,25,28,45,55,15
Igglybuff,normal,fairy,2,90,30,15,40,20,15
Togepi,fairy,,2,35,20,65,40,65,20
Togetic,fairy,flying,2,55,40,85,80,105,40
Natu,psychic,flying,2,40,50,45,70,45,70
Xatu,psychic,flying,2,65,75,70,95,70,95
Mareep,electric,,2,55,40,40,65,45,35
Flaaffy,electric,,2,70,55,55,80,60,45
Ampharos,electric,,2,90,95,105,165,110,45
Bellossom,grass,,2,75,80,95,90,100,50
Marill,water,fairy,2,70,20,50,20,50,40
Azumarill,water,fairy,2,100,50,80,60,80,50
Sudowoodo,rock,,2,70,100,115,30,65,30
Politoed,water,,2,90,75,75,90,100,70
Hoppip,grass,flying,2,35,35,40,35,55,50
